id;date;description;amount
1;2015-08-05T08:48:39;Mississippi Account Associate;13968
2;2015-08-05T04:22:05;port innovate Persevering;9517
3;2015-08-04T15:35:57;Hawaii Sausages connecting;52157
4;2015-08-04T23:59:54;Optimization Rustic Synergistic;14208
5;2015-08-04T22:10:40;Card Iowa;77596
6;2015-08-05T03:47:21;mesh Rhode Automotive;8019
7;2015-08-05T07:24:15;infrastructures Cambridgeshire GB;67835
8;2015-08-04T19:16:51;Implemented synthesizing program;18655
9;2015-08-04T21:34:29;Generic RAM;43990
10;2015-08-05T07:36:06;Bedfordshire partnerships;13274
